gene_ID,transcript_ID,chr,start,end
MSH2,NM_000251.3,chr2,47403153,47483225
MSH6,NM_000179.3,chr2,47783142,47806955
BARD1,NM_000465.4,chr2,214725643,214809685
MLH1,NM_000249.4,chr3,36993515,37050848
BAP1,NM_004656.4,chr3,52401005,52410010
ABRAXAS,NM_139076.3,chr4,83459514,83485102
RAD50,NM_005732.4,chr5,132556974,132646351
PMS2,NM_000535.7,chr7,5970922,6009051
RINT1,NM_021930.6,chr7,105532198,105567679
XRCC2,NM_005431.2,chr7,152644773,152676143
NBN,NM_002485.5,chr8,89933328,89984669
PTEN,NM_000314.8,chr10,87863622,87971932
MRE11,NM_005591.4,chr11,94415567,94493846
ATM,NM_000051.4,chr11,108223064,108369104
FANCM,NM_020937.4,chr14,45135927,45200892
RAD51B,NM_133509.5,chr14,67819776,68596052
PALB2,NM_024675.4,chr16,23603162,23641312
CDH1,NM_004360.5,chr16,68737289,68835539
TP53,NM_000546.6,chr17,7668418,7687492
RAD51D,NM_001142571.2,chr17,35092218,35119760
RAD51C,NM_058216.3,chr17,58692599,58735613
BRIP1,NM_032043.3,chr17,61679136,61863530
STK11,NM_000455.5,chr19,1205775,1228433
CHEK2,NM_007194.4,chr22,28687740,28741822
